sid	stype	description	context	celltype	controlsra	treatmentsra	date	missingtreatmentsra	missingcontrolsra	category	platform	accession	species	ptype	drug	gene
366	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Liver - Male	GSM1605490,GSM1605491,GSM1605492,GSM1605493	GSM1605442,GSM1605443,GSM1605444,GSM1605445,GSM1605446	2017-01-04 01:11:09			gene	GPL13112	GSE65772	Mus musculus	Knockin (CAG Q80)		Hdh
367	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Liver - Male	GSM1605498,GSM1605499,GSM1605500,GSM1605501	GSM1605474,GSM1605475,GSM1605476,GSM1605477	2017-01-04 01:11:13			gene	GPL13112	GSE65772	Mus musculus	Knockin (CAG Q92)		Hdh
368	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Liver - Male	GSM1605502,GSM1605503,GSM1605504,GSM1605505	GSM1605482,GSM1605483,GSM1605484,GSM1605485	2017-01-04 01:11:17			gene	GPL13112	GSE65772	Mus musculus	Knockin (CAG Q92)		Hdh
369	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Liver - Male	GSM1605490,GSM1605491,GSM1605492,GSM1605493	GSM1605466,GSM1605467,GSM1605468,GSM1605469	2017-01-04 01:11:21			gene	GPL13112	GSE65772	Mus musculus	Knockin (CAG Q92)		Hdh
370	CD	Purpose: The goals of this study are to compare in vitro polarized T helper 17 cell transcriptome profiling (RNA-seq) in different genetic background. Methods: Th17 mRNA profiles of 96hrs in vitro cultured T helper 17 cells from wild-type and mutant mice were generated by deep sequencing, using Illumina RapidRun. The sequence reads that passed quality filters were analyzed at the transcript isoform level with two methods: Burrows–Wheeler Aligner (BWA) and TopHat followed by CuffDiff. qRT–PCR validation was performed using SYBR Green assays. Results: Among the 325 genes that were significantly dysregulated in DDX5-deficient T cells, approximately 40% were previously identified as RORγt targets in Th17 cells. 96 RORγt-dependent Th17 cell genes co-regulated by Rmrp together with DDX5. Conclusions: Our study suggest that the DDX5-Rmrp axis is critical for expression of a critical subset of the RORγt transcriptional targets in Th17 cells.	gene	Th17 cells	GSM1717174,GSM1717176,GSM1717179	GSM1717175,GSM1717177	2017-01-04 01:11:25			gene	GPL17021	GSE70108	Mus musculus	Knockout		DDX5
371	CD	Background & Aims: Perturbations in pancreatic ductal bicarbonate secretion often result in chronic pancreatitis. Although the physiological mechanism of ductal secretion is known, its transcriptional control is not well characterized. Here, we investigate the role of the transcription factor Hematopoietically-expressed homeobox protein (Hhex) in pancreatic secretion and pancreatitis. Methods: We derived mice with pancreas-specific, Cre-mediated Hhex gene ablation to determine the requirement of Hhex in the pancreatic duct in early life and in adult stages. Histological and immunostaining analyses were used to detect the presence of pathology. Pancreatic primary ductal cells (PDCs) were isolated to discover differentially expressed transcripts upon acute Hhex ablation. Results: Hhex protein was detected throughout the embryonic and adult ductal trees. Ablation of Hhex in pancreatic progenitors resulted in postnatal ductal ectasia associated with acinar-to-ductal metaplasia, a progressive phenotype that ultimately resulted in chronic pancreatitis. Hhex ablation in adult mice, however, did not cause any detectable pathology. Ductal ectasia did not result from perturbations in primary cilia, but was consistent with the effects of primary ductal hypertension. RNA-seq analysis of Hhex-ablated PDCs indicated the G-protein coupled receptor Natriuretic peptide receptor 3, implicated in paracrine signaling, was upregulated 4.70-fold. Conclusions: Although Hhex is dispensable for adult pancreatic function, ablation of Hhex in pancreatic progenitors results in profound pancreatitis that is consistent with primary ductal hypertension. Our data highlight the critical role of paracrine signaling in maintaining ductal homeostasis, especially in early life, and support ductal hypersecretion as a novel etiology of pediatric chronic pancreatitis.	gene	Primary mouse pancreatic ductal cells	GSM1551774,GSM1551775	GSM1551776,GSM1551777	2017-01-04 01:11:28			gene	GPL13112	GSE63526	Mus musculus	Knockout		Hhex
372	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Female	GSM1605168,GSM1605169,GSM1605170,GSM1605171	GSM1605024,GSM1605025,GSM1605026,GSM1605027	2017-01-04 01:11:33			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q111)		Hhex
373	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Male	GSM1605172,GSM1605173,GSM1605174,GSM1605175	GSM1605028,GSM1605029,GSM1605030,GSM1605031	2017-01-04 01:11:39			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q111)		Hhex
374	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Female	GSM1605152,GSM1605153,GSM1605154,GSM1605155	GSM1605008,GSM1605009,GSM1605010,GSM1605011	2017-01-04 01:11:44			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q111)		Hhex
375	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Female	GSM1605168,GSM1605169,GSM1605170,GSM1605171	GSM1605048,GSM1605049,GSM1605050,GSM1605051	2017-01-04 01:11:48			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q140)		Hhex
376	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Male	GSM1605172,GSM1605173,GSM1605174,GSM1605175	GSM1605052,GSM1605053,GSM1605054,GSM1605055	2017-01-04 01:11:52			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q140)		Hhex
377	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Female	GSM1605152,GSM1605153,GSM1605154,GSM1605155	GSM1605032,GSM1605033,GSM1605034,GSM1605035	2017-01-04 01:11:57			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q140)		Hhex
378	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Male	GSM1605156,GSM1605157,GSM1605158,GSM1605159	GSM1605036,GSM1605037,GSM1605038,GSM1605039	2017-01-04 01:12:02			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q140)		Hhex
379	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Female	GSM1605160,GSM1605161,GSM1605162,GSM1605163	GSM1605040,GSM1605041,GSM1605042,GSM1605043	2017-01-04 01:12:07			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q140)		Hhex
380	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Male	GSM1605164,GSM1605165,GSM1605166,GSM1605167	GSM1605044,GSM1605045,GSM1605046,GSM1605047	2017-01-04 01:12:12			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q140)		Hhex
381	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Female	GSM1605168,GSM1605169,GSM1605170,GSM1605171	GSM1605072,GSM1605073,GSM1605074,GSM1605075	2017-01-04 01:12:16			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q175)		Hhex
382	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Male	GSM1605172,GSM1605173,GSM1605174,GSM1605175	GSM1605076,GSM1605077,GSM1605078,GSM1605079	2017-01-04 01:12:20			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q175)		Hhex
383	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Female	GSM1605152,GSM1605153,GSM1605154,GSM1605155	GSM1605080,GSM1605081,GSM1605082,GSM1605083	2017-01-04 01:12:25			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q20)		Hhex
384	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Female	GSM1605160,GSM1605161,GSM1605162,GSM1605163	GSM1605088,GSM1605089,GSM1605090,GSM1605091	2017-01-04 01:12:30			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q20)		Hhex
385	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Female	GSM1605168,GSM1605169,GSM1605170,GSM1605171	GSM1605096,GSM1605097,GSM1605098,GSM1605099	2017-01-04 01:12:35			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q20)		Hhex
386	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Male	GSM1605156,GSM1605157,GSM1605158,GSM1605159	GSM1605084,GSM1605085,GSM1605086,GSM1605087	2017-01-04 01:12:40			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q20)		Hhex
387	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Male	GSM1605164,GSM1605165,GSM1605166,GSM1605167	GSM1605092,GSM1605093,GSM1605094,GSM1605095	2017-01-04 01:12:45			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q20)		Hhex
388	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Male	GSM1605172,GSM1605173,GSM1605174,GSM1605175	GSM1605100,GSM1605101,GSM1605102,GSM1605103	2017-01-04 01:12:50			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q20)		Hhex
389	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Female	GSM1605152,GSM1605153,GSM1605154,GSM1605155	GSM1605104,GSM1605105,GSM1605106	2017-01-04 01:12:54			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q80)		Hhex
390	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Female	GSM1605160,GSM1605161,GSM1605162,GSM1605163	GSM1605112,GSM1605113,GSM1605114,GSM1605115	2017-01-04 01:12:58			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q80)		Hhex
391	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Female	GSM1605168,GSM1605169,GSM1605170,GSM1605171	GSM1605120,GSM1605121,GSM1605122,GSM1605123	2017-01-04 01:13:03			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q80)		Hhex
392	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Male	GSM1605156,GSM1605157,GSM1605158,GSM1605159	GSM1605107,GSM1605108,GSM1605109,GSM1605110,GSM1605111	2017-01-04 01:13:08			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q80)		Hhex
393	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Male	GSM1605164,GSM1605165,GSM1605166,GSM1605167	GSM1605116,GSM1605117,GSM1605118,GSM1605119	2017-01-04 01:13:13			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q80)		Hhex
394	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Male	GSM1605172,GSM1605173,GSM1605174,GSM1605175	GSM1605124,GSM1605125,GSM1605126,GSM1605127	2017-01-04 01:13:17			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q80)		Hhex
395	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Female	GSM1605152,GSM1605153,GSM1605154,GSM1605155	GSM1605128,GSM1605129,GSM1605130,GSM1605131	2017-01-04 01:13:22			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q92)		Hhex
396	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Female	GSM1605160,GSM1605161,GSM1605162,GSM1605163	GSM1605136,GSM1605137,GSM1605138,GSM1605139	2017-01-04 01:13:27			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q92)		Hhex
397	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Female	GSM1605168,GSM1605169,GSM1605170,GSM1605171	GSM1605144,GSM1605145,GSM1605146,GSM1605147	2017-01-04 01:13:32			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q92)		Hhex
398	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Male	GSM1605156,GSM1605157,GSM1605158,GSM1605159	GSM1605132,GSM1605133,GSM1605134,GSM1605135	2017-01-04 01:13:37			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q92)		Hhex
399	CD	Huntington's disease (HD) is an autosomal dominant neurodegenerative disorder that is characterized by motor, cognitive, and psychiatric alterations. The mutation responsible for this disease is an abnormally expanded and unstable CAG repeat within the coding region of the gene encoding huntingtin (Htt). Knock-in mouse models of HD with human exon 1 containing expanded CAG repeats inserted in the murine huntingtin gene (Hdh) provide a genetic reconstruction of the human causative mutation within the mouse model. The goal of this study is RNA expression profiling by RNA sequencing (RNA-seq) in 2, 6, and 10 month old knock-in mice with CAG lengths of 20, 80, 92, 111, 140, 175 along with littermate control wild-type animals	gene	Cortex - Male	GSM1605164,GSM1605165,GSM1605166,GSM1605167	GSM1605140,GSM1605141,GSM1605142,GSM1605143	2017-01-04 01:13:42			gene	GPL13112	GSE65770	Mus musculus	Knockin (CAG Q92)		Hhex
